doctor_id,name,specialization,highest_degree,experience,fee,degrees,wait_time,num_patients,rating,location,experience_years,experience_level_category,shift_start,shift_end,shift_duration_hours,avg_patient_handling_capacity,num_appointments_today,appointment_load,peak_hours_flag,previous_day_availability,is_available_today,date
26,Dr. Samra Rafique,"Dermatologist, Cosmetologist",MBBS,12 Years,"Rs. 2,000",FCPS (Dermatology),Under 15 Min,27,100%,Lahore,12,mid,9:00,15:00,6,20,3,0.15,1.0,1,0,2024-01-26
27,Dr. Muhammad Anees,"Dermatologist, Cosmetologist",MBBS,10 Years,"Rs. 2,500",FCPS (Dermatology),Under 15 Min,112,100%,Lahore,10,mid,9:00,16:00,7,20,25,1.25,1.0,1,0,2024-01-27
28,Assist. Prof. Dr. Rabia Ishfaq,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S,17 Years,"Rs. 2,500",F.C.P.S (Dermatology),Under 15 Min,725,96%,Lahore,17,senior,9:00,14:00,5,30,39,1.3,1.0,1,0,2024-01-28
29,Dr. Sahar Mashoor,"Dermatologist, Cosmetologist",MBBS,3 Years,"Rs. 2,500","Diploma in Dermatology,  Pg. Dip Derm",Under 15 Min,15,94%,Lahore,3,junior,11:00,14:00,3,10,8,0.8,,0,1,2024-01-29
30,Dr. Sommiya Anum,"Cosmetologist, Laser Specialist, Dermatologist",M.B.B.S.,9 Years,"Rs. 3,000","FCPS DERMATOLOGY ,  Laser Specialist,  B.S. Human Nutrition and Dietetics,  B.S. Emergency and Intensive Care Science",Under 15 Min,355,99%,Lahore,9,mid,11:00,15:00,4,20,4,0.2,,1,1,2024-01-30
31,Dr. Farwa Nasir Khan,"Dermatologist, Cosmetologist",M.B.B.S,9 Years,Not Available,F.C.P.S (Dermatology),Under 15 Min,399,97%,Lahore,9,mid,8:00,14:00,6,20,31,1.55,1.0,1,0,2024-01-31
32,Dr. Asim Suhail,"Dermatologist, Cosmetologist",M.B.B.S.,17 Years,"Rs. 2,000","M.C.P.S. (Dermatology),  AACME (USA),  Professional Diploma in Facial Aesthetic (USA)",15 - 30 Min,508,99%,Lahore,17,senior,8:00,14:00,6,30,19,0.63333333333333,1.0,0,0,2024-02-01
33,Dr. Farooq Tajammal Khan,"Dermatologist, Plastic Surgeon, Cosmetologist",F.R.C.S. (UK),30 Years,"Rs. 4,000","F.C.P.S. (Plastic Surgery),  D.Derm (London)",Under 15 Min,292,99%,Lahore,30,senior,11:00,15:00,4,30,10,0.33333333333333,,0,0,2024-02-02
34,Dr. Fatima Bashir,"Dermatologist, Cosmetologist",M.B.B.S,6 Years,"Rs. 1,000",F.C.P.S (Dermatology),Under 15 Min,14,100%,Lahore,6,mid,9:00,15:00,6,20,14,0.7,1.0,0,0,2024-02-03
35,Dr. Hafiz Ahmed Haroon Amin,"Dermatologist, Cosmetologist",M.B.B.S.,7 Years,"Rs. 2,500",M.C.P.S,Under 15 Min,786,99%,Lahore,7,mid,9:00,17:00,8,20,31,1.55,1.0,1,0,2024-02-04
36,Dr. Rabia Shaukat,"Dermatologist, Cosmetologist",M.B.B.S,6 Years,Not Available,F.C.P.S. (Dermatology),Under 15 Min,12,100%,Lahore,6,mid,8:00,14:00,6,20,27,1.35,1.0,1,0,2024-02-05
37,Dr. Ali Kazmi,"Dermatologist, Cosmetologist",M.B.B.S.,35 Years,"Rs. 3,000",Dip. Derm. From UK London,Under 15 Min,1561,96%,Lahore,35,senior,11:00,16:00,5,30,21,0.7,,1,1,2024-02-06
38,Dr. Asma Shakir,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S,10 Years,"Rs. 1,000",F.C.P.S. (Dermatology),Under 15 Min,157,99%,Lahore,10,mid,8:00,15:00,7,20,16,0.8,1.0,1,0,2024-02-07
39,Dr. Maryam Rafat,"Dermatologist, Aesthetic Physician",M.B.B.S.,17 Years,"Rs. 3,000","MCPS ( Dermatology),  MD (Dermatology)",Under 15 Min,249,100%,Lahore,17,senior,8:00,17:00,9,30,25,0.83333333333333,1.0,1,1,2024-02-08
40,Dr. Farzana Faiz,"Dermatologist, Cosmetologist",MBBS,17 Years,"Rs. 3,000",FCPS (Dermatology),15 - 30 Min,21,100%,Lahore,17,senior,10:00,16:00,6,30,6,0.2,,1,1,2024-02-09
41,Dr. Kiran Irfan,"Dermatologist, Cosmetologist",MBBS,8 Years,Not Available,MD (Dermatology),15 - 30 Min,75,99%,Lahore,8,mid,10:00,14:00,4,20,25,1.25,,0,0,2024-02-10
42,Dr. Nida Kafayat,"Dermatologist, Cosmetologist",M.B.B.S,10 Years,"Rs. 2,000",F.C.P.S,Under 15 Min,11,100%,Lahore,10,mid,10:00,17:00,7,20,24,1.2,,0,0,2024-02-11
43,Dr. Eram Razzaq,"Dermatologist, Cosmetologist",MBBS,12 Years,Not Available,MCPS (Dermatology),Under 15 Min,33,100%,Lahore,12,mid,9:00,15:00,6,20,9,0.45,1.0,1,0,2024-02-12
44,Dr. Noor Ul Ain,"Dermatologist, Aesthetic Physician, Cosmetologist",M.B.B.S.,"99%
                                                                                    (205)","Rs. 1,400","MSc Clinical Dermatology,  Diploma in Aesthetic Medicine",5 Years,205,,Lahore,99,senior,11:00,16:00,5,30,18,0.6,,1,1,2024-02-13
45,Dr. Asim Ali Malik,"Dermatologist, Cosmetologist",M.B.B.S,20 Years,"Rs. 3,000","M.R.C.P.S (UK),  Dip. In Dermatology (D-Derm) (UK)",Under 15 Min,224,97%,Lahore,20,senior,11:00,15:00,4,30,10,0.33333333333333,,1,1,2024-02-14
46,Dr. Burhan Ashraf,"Dermatologist, Cosmetologist, Hair Transplant Surgeon",MBBS,11 Years,"Rs. 2,000","FCPS (Dermatologist),  M.R.C.P (U.K),  Diplomate of American Board Hair Restoration Surgeons,  MRCP (LONDON),  MRCPE (EDINBURGH),  MRCP ( GLASGOW)",15 - 30 Min,71,95%,Lahore,11,mid,11:00,14:00,3,20,12,0.6,,1,1,2024-02-15
47,Dr. Sehrish Khalid,"Dermatologist, Cosmetologist",MBBS,6 Years,"Rs. 3,000",FCPS (Dermatology),15 - 30 Min,84,100%,Lahore,6,mid,11:00,16:00,5,20,7,0.35,,1,1,2024-02-16
48,Dr. Kehkshan Tahir,"Dermatologist, Cosmetologist",MBBS,15 Years,"Rs. 2,500",FCPS (Dermatology),Under 15 Min,200,99%,Lahore,15,mid,10:00,14:00,4,30,39,1.3,,0,0,2024-02-17
49,Dr. Aisha Ahmad,"Dermatologist, Cosmetologist",MBBS,12 Years,"Rs. 2,000","FCPS (Derma),  American Academy of Aesthetics and Dermatology",Under 15 Min,190,98%,Lahore,12,mid,9:00,14:00,5,20,3,0.15,1.0,0,0,2024-02-18
50,Dr. Chaudhary Muhammad Tahir,"Dermatologist, Cosmetologist",M.B.B.S,32 Years,"Rs. 2,500","DDSc (Diplomat in Dermatological Sciences),   WALES,  UK,  M.P.A.D (Pak),  ME-ADV (Belgium)",Under 15 Min,521,98%,Lahore,32,senior,9:00,17:00,8,30,30,1.0,1.0,1,0,2024-02-19
51,Dr. Faryal Ather,"Cosmetologist, Dermatologist",M.B.B.S,13 Years,"Rs. 2,500",D.Derm (UK),Under 15 Min,141,98%,Lahore,13,mid,10:00,15:00,5,20,27,1.35,,0,0,2024-02-20
52,Prof. Dr. Faria Asad,"Dermatologist, Cosmetologist",M.B.B.S,25 Years,"Rs. 3,000",F.C.P.S,Under 15 Min,834,99%,Lahore,25,senior,9:00,16:00,7,30,10,0.33333333333333,1.0,1,1,2024-02-21
53,Dr. Shumaila Waqas,"Dermatologist, Cosmetologist",MBBS,15 Years,"Rs. 1,000",MCPS,Under 15 Min,563,98%,Lahore,15,mid,10:00,14:00,4,30,0,0.0,,1,0,2024-02-22
54,Brig.(R) Dr. Rehan Uddin,"Dermatologist, Cosmetologist",M.B.B.S.,30 Years,"Rs. 2,000",F.C.P.S. (Dermatology),Under 15 Min,252,98%,Lahore,30,senior,11:00,14:00,3,30,37,1.2333333333333,,1,0,2024-02-23
55,Dr. Tauqir Haider,"Dermatologist, Cosmetologist",M.B.B.S.,30 Years,"Rs. 2,000",MCCEE,Under 15 Min,197,99%,Lahore,30,senior,10:00,16:00,6,30,23,0.76666666666667,,0,0,2024-02-24
56,Dr. Saleha Zeeshan,"Dermatologist, Aesthetic Physician, Laser Specialist, Cosmetologist",M.B.B.S,5 Years,Not Available,"M.C.P.S (Dermatology),   Certified Aesthetic Medicine (USA)",Under 15 Min,20,94%,Lahore,5,junior,11:00,14:00,3,20,30,1.5,,0,0,2024-02-25
57,Prof. Dr. Nadia Ali Azfar,"Dermatologist, Cosmetologist",M.B.B.S,25 Years,"Rs. 3,000",F.C.P.S. ( DERMATOLOGY ),Under 15 Min,142,100%,Lahore,25,senior,11:00,17:00,6,30,25,0.83333333333333,,1,1,2024-02-26
58,Assist. Prof. Dr. Zahida Perveen,"Dermatologist, Cosmetologist",MBBS,12 Years,"Rs. 2,000",FCPS (Dermatology),Under 15 Min,307,100%,Lahore,12,mid,8:00,17:00,9,20,4,0.2,1.0,0,1,2024-02-27
59,Dr. Zartaj Liaqat,"Dermatologist, Cosmetologist",M.B.B.S.,13 Years,"Rs. 1,500",F.C.P.S. (Dermatology),Under 15 Min,92,97%,Lahore,13,mid,10:00,17:00,7,20,19,0.95,,0,0,2024-02-28
60,Dr. Areej Adeel,"Dermatologist, Cosmetologist",M.B.B.S.,12 Years,"Rs. 2,000",F.C.P.S. (Dermatology),Under 15 Min,110,99%,Lahore,12,mid,8:00,17:00,9,20,10,0.5,1.0,1,0,2024-02-29
61,Dr. Aqsa Zubair Awan,"Dermatologist, Cosmetologist",M.B.B.S.,10 Years,"Rs. 1,500",F.C.P.S. (Dermatology),Under 15 Min,443,99%,Lahore,10,mid,10:00,14:00,4,20,32,1.6,,0,0,2024-03-01
62,Dr. Meraj Saadat,"Dermatologist, Cosmetologist",MBBS,20 Years,"Rs. 1,200",Dip in Dermatology,Under 15 Min,1732,99%,Lahore,20,senior,10:00,16:00,6,30,37,1.2333333333333,,0,0,2024-03-02
63,Lt. Col. (R) Dr. Muhammad Amjad,"Dermatologist, Cosmetologist",MBBS,"100%
                                                                                    (188)","Rs. 1,000","MCPS (Dermatology),  FCPS (Dermatology)",Under 15 Min,188,,Lahore,100,senior,8:00,16:00,8,30,26,0.86666666666667,1.0,1,1,2024-03-03
64,Dr. Nuzha Niazi,"Dermatologist, Aesthetic Physician",M.B.B.S,10 Years,"Rs. 3,000","F.C.P.S. (Dermatology),  Certified in American Academy of Aesthetic Medicine",Under 15 Min,72,100%,Lahore,10,mid,8:00,16:00,8,20,33,1.65,1.0,1,0,2024-03-04
65,Lt. Col. (R). Prof. Dr. Habib ur Rehman,"Dermatologist, Cosmetologist",M.B.B.S.,30 Years,Not Available,"F.C.P.S. (Dermatology),  M.C.P.S,  M.Phil,  Fellow American Academy Of Dermatology,  Fellowship Johns Hopkins Hospital MD",Under 15 Min,1070,99%,Lahore,30,senior,10:00,16:00,6,30,14,0.46666666666667,,0,0,2024-03-05
66,Dr. Humaira Shamim,"Dermatologist, Cosmetologist",MBBS,12 Years,"Rs. 2,500","FCPS (Dermatology),  CHPE,  AAAM",Under 15 Min,260,99%,Lahore,12,mid,9:00,15:00,6,20,31,1.55,1.0,1,0,2024-03-06
67,Dr. Sidra Aziz,"Dermatologist, Cosmetologist",M.B.B.S,5 Years,"Rs. 1,500",F.C.P.S (Dermatology),Under 15 Min,129,96%,Lahore,5,junior,11:00,16:00,5,20,20,1.0,,0,1,2024-03-07
68,Dr. Ayesha Rehman,"Dermatologist, Cosmetologist",MBBS,23 Years,"Rs. 2,000",MCPS (Dermatology),Under 15 Min,921,99%,Lahore,23,senior,8:00,15:00,7,30,4,0.13333333333333,1.0,1,1,2024-03-08
69,Dr. Sumaira Rashid,"Cosmetologist, Dermatologist",MBBS,21 Years,"Rs. 3,500",FCPS (Dermatology),Under 15 Min,327,98%,Lahore,21,senior,11:00,15:00,4,30,5,0.16666666666667,,1,1,2024-03-09
70,Assist. Prof. Dr. Saima Ilyas,"Dermatologist, Cosmetologist",MBBS,19 Years,"Rs. 2,500",FCPS (Dermatology),15 - 30 Min,61,100%,Lahore,19,senior,9:00,17:00,8,30,37,1.2333333333333,1.0,1,0,2024-03-10
71,Dr. Rabia Imran,"Dermatologist, Cosmetologist",MBBS,8 Years,"Rs. 2,000",FCPS (Dermatology),Under 15 Min,20,95%,Lahore,8,mid,9:00,15:00,6,20,21,1.05,1.0,1,0,2024-03-11
72,Dr. Sehrish Ashraf,"Dermatologist, Cosmetologist",M.B.B.S.,10 Years,"Rs. 1,000",F.C.P.S. (Dermatology),Under 15 Min,90,98%,Lahore,10,mid,9:00,14:00,5,20,17,0.85,1.0,0,0,2024-03-12
73,Prof. Dr. Tariq Zaman,"Dermatologist, Cosmetologist",M.B.B.S.,40 Years,"Rs. 3,500","M.C.P.S (Dermatology),  F.C.P.S. (Dermatology)",15 - 30 Min,65,98%,Lahore,40,senior,8:00,15:00,7,30,13,0.43333333333333,1.0,1,1,2024-03-13
74,Dr. Ahmed Kazmi,"Dermatologist, Cosmetologist",M.B.B.S.,15 Years,"Rs. 1,500",MD Dermatology,Under 15 Min,15,100%,Lahore,15,mid,9:00,17:00,8,30,9,0.3,1.0,1,0,2024-03-14
75,Assist. Prof. Dr. Saadiya Siddiqui,"Dermatologist, Cosmetologist",MBBS,14 Years,"Rs. 2,000",FCPS (Derm),Under 15 Min,26,100%,Lahore,14,mid,8:00,15:00,7,20,12,0.6,1.0,1,0,2024-03-15
76,Dr. Aleena Irteza Khan,"Cosmetologist, Dermatologist",M.B.B.S,10 Years,Not Available,"M.C.P.S (Dermatology),  M.D",Under 15 Min,69,98%,Lahore,10,mid,9:00,14:00,5,20,30,1.5,1.0,0,0,2024-03-16
77,Prof. Dr. Azam Bukhari,Dermatologist,MBBS,35 Years,"Rs. 1,500","M.Sc (Dermatology),   FCPS (Dermatology),  MCPS (Dermatology)",Under 15 Min,1066,99%,Lahore,35,senior,11:00,14:00,3,30,29,0.96666666666667,,0,0,2024-03-17
78,Dr. Uzma Khalil,"Dermatologist, Cosmetologist",M.B.B.S,17 Years,Not Available,M.C.P.S,Under 15 Min,23,96%,Lahore,17,senior,11:00,14:00,3,30,2,0.066666666666667,,1,1,2024-03-18
79,Dr. Shahbaz Ali,"Dermatologist, Cosmetologist, Hair Transplant Surgeon",M.B.B.S.,10 Years,"Rs. 1,500",MD Dermatology,Under 15 Min,60,94%,Lahore,10,mid,10:00,17:00,7,20,29,1.45,,1,0,2024-03-19
80,Dr. Khadija Kiran,"Aesthetic Physician, Laser Specialist, Cosmetologist, Dermatologist",M.B.B.S,10 Years,"Rs. 1,500","M.C.P.S (Dermatology),  American Board Certified in Aesthetic Medicine",Under 15 Min,371,98%,Lahore,10,mid,11:00,17:00,6,20,5,0.25,,1,1,2024-03-20
81,Dr. Nida Eily,"Dermatologist, Cosmetologist",M.B.B.S.,7 Years,Not Available,F.C.P.S. (Dermatology),15 - 30 Min,3,100%,Lahore,7,mid,10:00,16:00,6,20,28,1.4,,1,0,2024-03-21
82,Dr. Shaiqa Ali,"Dermatologist, Cosmetologist",MBBS,18 Years,"Rs. 1,500","M.D (Dermatology),  MCPS (Dermatology)",Under 15 Min,66,96%,Lahore,18,senior,11:00,17:00,6,30,7,0.23333333333333,,1,1,2024-03-22
83,Dr. Tariq Niaz Butt,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,12 Years,"Rs. 2,000","MSc (Clinical Dermatology),  Dip. Derm (UK)",Under 15 Min,441,99%,Lahore,12,mid,8:00,14:00,6,20,32,1.6,1.0,1,0,2024-03-23
84,Dr. Mansoor Haider,"Dermatologist, Cosmetologist",MBBS,34 Years,"Rs. 3,000",FCPS (Dermatology),Under 15 Min,611,100%,Lahore,34,senior,11:00,14:00,3,30,16,0.53333333333333,,0,1,2024-03-24
85,Dr. Marrium Manzoor,"Dermatologist, Cosmetologist",M.B.B.S.,9 Years,"Rs. 1,000",F.C.P.S. (Dermatology),Under 15 Min,459,99%,Lahore,9,mid,10:00,17:00,7,20,10,0.5,,1,1,2024-03-25
86,Dr. Rabia Noor,"Dermatologist, Aesthetic Physician",M.B.B.S.,2 Years,"Rs. 2,000",Medical Aesthetics Diploma,Under 15 Min,99,95%,Lahore,2,junior,10:00,15:00,5,10,12,1.2,,1,1,2024-03-26
87,Dr. Attiqua Akbar,"Dermatologist, Aesthetic Physician, Cosmetologist",M.B.B.S,14 Years,"Rs. 2,000",Dip. In Dermatology,Under 15 Min,20,100%,Lahore,14,mid,9:00,17:00,8,20,10,0.5,1.0,1,0,2024-03-27
88,Dr. Asim Ali Hyder,Dermatologist,MBBS,28 Years,"Rs. 1,200","Dip. in Dermatology,  PGD",15 - 30 Min,71,96%,Lahore,28,senior,8:00,17:00,9,30,30,1.0,1.0,1,1,2024-03-28
89,Dr. Sana Sheraz Javaid,"Dermatologist, Cosmetologist",M.B.B.S.,7 Years,"Rs. 2,000",PGDip. In Dermatology (UK),Under 15 Min,36,100%,Lahore,7,mid,11:00,14:00,3,20,27,1.35,,1,0,2024-03-29
90,Dr. Muhammad Khurshid Azam Basra,Dermatologist,MBBS,7 Years,Not Available,"DDSc (UK),  MD (UK)",23 Years,not available,100%,Lahore,7,mid,9:00,16:00,7,20,5,0.25,1.0,1,1,2024-03-30
91,Dr. Sana Naz,"Dermatologist, Cosmetologist",MBBS,8 Years,Not Available,"PGD in Dermatology (UK),  MSc (Dermatology)",15 - 30 Min,83,100%,Lahore,8,mid,11:00,14:00,3,20,15,0.75,,0,1,2024-03-31
92,Dr. Mehvish Naeem,"Dermatologist, Aesthetic Medicine Specialist",M.B.B.S.,8 Years,Not Available,"Dip. in Dermatology,  Dip. in  Aesthetics Medicine",Under 15 Min,12,92%,Lahore,8,mid,11:00,16:00,5,20,3,0.15,,0,1,2024-04-01
93,Assist. Prof. Dr. Mahwish Zahoor,"Dermatologist, Cosmetologist",M.B.B.S.,15 Years,Not Available,"M.D (Dermatology),  MCPS (Dermatology)",Under 15 Min,63,100%,Lahore,15,mid,9:00,14:00,5,30,34,1.1333333333333,1.0,0,0,2024-04-02
94,Dr. M. Awais Khan,"Dermatologist, Cosmetologist",MBBS,12 Years,Not Available,MCPS,Under 15 Min,21,100%,Lahore,12,mid,9:00,17:00,8,20,25,1.25,1.0,0,0,2024-04-03
95,Dr. Sumeet Ashraf,"Dermatologist, Cosmetologist",MBBS,7 Years,Not Available,FCPS I,Under 15 Min,135,99%,Lahore,7,mid,9:00,14:00,5,20,11,0.55,1.0,0,0,2024-04-04
96,Dr. Saamira Farid,"Dermatologist, Cosmetologist",M.B.B.S,15 Years,Not Available,M.C.P.S (Dermatology),Under 15 Min,5,100%,Lahore,15,mid,9:00,14:00,5,30,10,0.33333333333333,1.0,0,0,2024-04-05
97,Dr. Naila Tabassum,"Dermatologist, Aesthetic Physician",M.B.B.S,"100%
                                                                                    (2)",Not Available,F.C.P.S,17 Years,2,,Lahore,100,senior,9:00,14:00,5,30,36,1.2,1.0,1,1,2024-04-06
98,Dr. Muhammad Awais Arif,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S,10 Years,Not Available,"Master of Science in Public Health,  Diploma in Dermatology and Dermatosurgery,  Fellowship Training in Cutaneous and Laser Surgery,  Diplomate American Board of Laser Surgery",Under 15 Min,87,98%,Lahore,10,mid,11:00,17:00,6,20,24,1.2,,1,1,2024-04-07
99,Dr. Asmaa Batool Ramay,"Dermatologist, Cosmetologist",M.B.B.S.,7 Years,Not Available,F.C.P.S.,Under 15 Min,74,100%,Lahore,7,mid,9:00,17:00,8,20,17,0.85,1.0,1,1,2024-04-08
100,Dr. M. Tauqir Ahmad,"Cosmetologist, Dermatologist",MBBS,"100%
                                                                                    (3)",Not Available,MBCAM,25 Years,3,,Lahore,100,senior,8:00,17:00,9,30,18,0.6,1.0,1,1,2024-04-09
101,Dr. Sarmad Malik,"Dermatologist, Cosmetologist",M.B.B.S.,12 Years,Not Available,M.C.P.S (Dermatology),Under 15 Min,92,99%,Lahore,12,mid,10:00,17:00,7,20,22,1.1,,1,0,2024-04-10
102,Assist. Prof. Dr. Sameera Iqbal,"Dermatologist, Cosmetologist",M.B.B.S.,15 Years,Not Available,F.C.P.S. (Dermatology),Under 15 Min,205,99%,Lahore,15,mid,9:00,16:00,7,30,37,1.2333333333333,1.0,1,0,2024-04-11
